00-0000,All Occupations,total,146875480,0.1,25.72,53490,0.1,10.35,13.02,19.14,30.88,48.57,21530,27080,39810,64240,101020,,,2019
11-0000,Management Occupations,major,8054120,0.2,58.88,122480,0.1,24.03,34.35,50.8,74.16,#,49990,71460,105660,154260,#,,,2019
11-1000,Top Executives,minor,2658440,0.3,61.09,127070,0.2,21.01,31.69,49.63,78.83,#,43710,65910,103230,163970,#,,,2019
11-1010,Chief Executives,broad,205890,0.8,93.2,193850,0.4,29.95,54.23,88.68,#,#,62290,112790,184460,#,#,,,2019
11-1011,Chief Executives,detailed,205890,0.8,93.2,193850,0.4,29.95,54.23,88.68,#,#,62290,112790,184460,#,#,,,2019
11-1020,General and Operations Managers,broad,2400280,0.3,59.15,123030,0.2,21.66,31.57,48.45,75.69,#,45050,65660,100780,157430,#,,,2019
11-1021,General and Operations Managers,detailed,2400280,0.3,59.15,123030,0.2,21.66,31.57,48.45,75.69,#,45050,65660,100780,157430,#,,,2019
11-1030,Legislators,broad,52280,2.2,*,49440,1.3,*,*,*,*,*,17690,19070,29270,75520,100470,True,,2019
11-1031,Legislators,detailed,52280,2.2,*,49440,1.3,*,*,*,*,*,17690,19070,29270,75520,100470,True,,2019
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,770540,0.5,68.91,143330,0.2,30.74,42.97,61.96,86.06,#,63940,89380,128870,179010,#,,,2019
11-2010,Advertising and Promotions Managers,broad,25100,3.0,68.22,141890,1.3,29.77,41.51,60.34,84.59,#,61930,86330,125510,175940,#,,,2019
11-2011,Advertising and Promotions Managers,detailed,25100,3.0,68.22,141890,1.3,29.77,41.51,60.34,84.59,#,61930,86330,125510,175940,#,,,2019
11-2020,Marketing and Sales Managers,broad,666280,0.5,69.55,144660,0.2,30.72,43.4,62.84,87.15,#,63900,90270,130700,181280,#,,,2019
11-2021,Marketing Managers,detailed,263680,0.8,71.73,149200,0.3,34.14,46.98,65.79,89.1,#,71010,97710,136850,185320,#,,,2019
