00-0000,All Occupations,total,132588810,0.1,22.33,46440,0.1,8.74,10.9,16.87,27.34,42.47,18190,22670,35080,56860,88330,,,2013
11-0000,Management Occupations,major,6542950,0.2,53.15,110550,0.1,22.28,32.05,45.96,66.45,#,46340,66660,95600,138220,#,,,2013
11-1000,Top Executives,minor,2278260,0.2,58.18,121010,0.1,21.46,32.14,48.22,75.55,#,44630,66850,100310,157150,#,,,2013
11-1010,Chief Executives,broad,248760,0.6,85.77,178400,0.3,36.07,53.18,82.5,#,#,75030,110610,171610,#,#,,,2013
11-1011,Chief Executives,detailed,248760,0.6,85.77,178400,0.3,36.07,53.18,82.5,#,#,75030,110610,171610,#,#,,,2013
11-1020,General and Operations Managers,broad,1973700,0.3,55.81,116090,0.2,22.21,31.82,46.36,70.84,#,46190,66190,96430,147350,#,,,2013
11-1021,General and Operations Managers,detailed,1973700,0.3,55.81,116090,0.2,22.21,31.82,46.36,70.84,#,46190,66190,96430,147350,#,,,2013
11-1030,Legislators,broad,55800,1.3,*,39320,1.0,*,*,*,*,*,16620,17950,20620,56060,85460,True,,2013
11-1031,Legislators,detailed,55800,1.3,*,39320,1.0,*,*,*,*,*,16620,17950,20620,56060,85460,True,,2013
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,608470,0.5,59.92,124640,0.3,26.62,36.95,53.55,75.17,#,55370,76860,111390,156340,#,,,2013
11-2010,Advertising and Promotions Managers,broad,28530,2.7,54.27,112870,1.5,21.7,30.95,45.13,69.83,#,45140,64370,93880,145250,#,,,2013
11-2011,Advertising and Promotions Managers,detailed,28530,2.7,54.27,112870,1.5,21.7,30.95,45.13,69.83,#,45140,64370,93880,145250,#,,,2013
11-2020,Marketing and Sales Managers,broad,526220,0.5,60.88,126640,0.3,27.09,37.66,54.61,76.66,#,56340,78340,113590,159460,#,,,2013
11-2021,Marketing Managers,detailed,174010,0.8,64.28,133700,0.4,30.98,42.37,59.24,79.93,#,64440,88130,123220,166250,#,,,2013
11-2022,Sales Managers,detailed,352220,0.7,59.21,123150,0.3,25.85,35.52,52.18,74.56,#,53770,73880,108540,155090,#,,,2013
11-2030,Public Relations and Fundraising Managers,broad,53730,1.2,53.49,111260,0.6,25.65,34.54,47.45,66.21,88.6,53360,71830,98700,137710,184290,,,2013
11-2031,Public Relations and Fundraising Managers,detailed,53730,1.2,53.49,111260,0.6,25.65,34.54,47.45,66.21,88.6,53360,71830,98700,137710,184290,,,2013
11-3000,Operations Specialties Managers,minor,1582020,0.3,54.88,114160,0.2,27.26,36.45,49.6,67.36,89.03,56710,75820,103170,140110,185180,,,2013
11-3010,Administrative Services Managers,broad,269500,0.6,43.36,90190,0.3,21.56,29.42,39.57,53.13,69.76,44850,61200,82310,110500,145100,,,2013
11-3011,Administrative Services Managers,detailed,269500,0.6,43.36,90190,0.3,21.56,29.42,39.57,53.13,69.76,44850,61200,82310,110500,145100,,,2013
11-3020,Computer and Information Systems Managers,broad,319080,0.9,63.74,132570,0.4,36.74,46.56,59.59,75.27,#,76420,96850,123950,156560,#,,,2013
11-3021,Computer and Information Systems Managers,detailed,319080,0.9,63.74,132570,0.4,36.74,46.56,59.59,75.27,#,76420,96850,123950,156560,#,,,2013
11-3030,Financial Managers,broad,499320,0.5,60.89,126660,0.3,29.48,39.32,54.18,74.02,#,61320,81780,112700,153970,#,,,2013
11-3031,Financial Managers,detailed,499320,0.5,60.89,126660,0.3,29.48,39.32,54.18,74.02,#,61320,81780,112700,153970,#,,,2013
11-3050,Industrial Production Managers,broad,165340,0.6,47.78,99370,0.3,26.56,33.86,43.65,56.77,73.36,55250,70430,90790,118090,152590,,,2013
11-3051,Industrial Production Managers,detailed,165340,0.6,47.78,99370,0.3,26.56,33.86,43.65,56.77,73.36,55250,70430,90790,118090,152590,,,2013
11-3060,Purchasing Managers,broad,69620,0.8,52.71,109640,0.4,28.64,37.21,49.89,64.28,79.72,59560,77390,103780,133700,165810,,,2013
11-3061,Purchasing Managers,detailed,69620,0.8,52.71,109640,0.4,28.64,37.21,49.89,64.28,79.72,59560,77390,103780,133700,165810,,,2013
11-3070,"Transportation, Storage, and Distribution Managers",broad,102610,1.0,43.86,91220,0.4,23.73,30.81,40.33,52.86,68.53,49370,64080,83890,109960,142540,,,2013
