00-0000,All Occupations,total,142549250,0.1,24.34,50620,0.1,9.6,11.91,18.12,29.38,46.23,19970,24770,37690,61110,96150,,,2017
11-0000,Management Occupations,major,7280330,0.2,57.65,119910,0.1,23.19,33.6,49.32,71.83,#,48220,69880,102590,149410,#,,,2017
11-1000,Top Executives,minor,2473740,0.3,61.55,128020,0.2,20.74,31.74,49.58,78.72,#,43140,66030,103120,163740,#,,,2017
11-1010,Chief Executives,broad,210160,0.7,94.25,196050,0.4,32.74,54.55,88.11,#,#,68110,113470,183270,#,#,,,2017
11-1011,Chief Executives,detailed,210160,0.7,94.25,196050,0.4,32.74,54.55,88.11,#,#,68110,113470,183270,#,#,,,2017
11-1020,General and Operations Managers,broad,2212200,0.3,59.35,123460,0.2,21.4,31.53,48.27,75.28,#,44510,65590,100410,156580,#,,,2017
11-1021,General and Operations Managers,detailed,2212200,0.3,59.35,123460,0.2,21.4,31.53,48.27,75.28,#,44510,65590,100410,156580,#,,,2017
11-1030,Legislators,broad,51380,1.3,*,46350,1.0,*,*,*,*,*,17480,18860,25630,70130,97510,True,,2017
11-1031,Legislators,detailed,51380,1.3,*,46350,1.0,*,*,*,*,*,17480,18860,25630,70130,97510,True,,2017
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,685780,0.5,66.66,138650,0.3,29.1,41.13,59.19,82.51,#,60530,85560,123100,171630,#,,,2017
11-2010,Advertising and Promotions Managers,broad,28100,2.6,59.56,123880,1.5,23.15,34.47,51.03,74.89,#,48150,71690,106130,155760,#,,,2017
11-2011,Advertising and Promotions Managers,detailed,28100,2.6,59.56,123880,1.5,23.15,34.47,51.03,74.89,#,48150,71690,106130,155760,#,,,2017
11-2020,Marketing and Sales Managers,broad,590380,0.5,67.6,140600,0.3,29.45,41.73,60.24,83.93,#,61250,86810,125290,174570,#,,,2017
11-2021,Marketing Managers,detailed,218970,0.8,70.01,145620,0.4,32.93,45.25,63.57,86.57,#,68490,94110,132230,180070,#,,,2017
