00-0000,All Occupations,total,128278550,0.1,21.74,45230,0.1,8.65,10.76,16.57,26.67,41,18000,22380,34460,55470,85280,,,2011
11-0000,Management Occupations,major,6183820,0.2,51.64,107410,0.1,21.98,31.3,44.65,64.24,#,45720,65100,92880,133610,#,,,2011
11-1011,Chief Executives,,267370,0.5,84.88,176550,0.4,36.47,52.56,80.25,#,#,75860,109320,166910,#,#,,,2011
11-1021,General and Operations Managers,,1805030,0.3,55.04,114490,0.2,22.87,31.72,45.74,69.25,#,47580,65980,95150,144050,#,,,2011
11-1031,Legislators,,62180,1.3,*,38860,0.8,*,*,*,*,*,16280,17660,19630,56200,85920,True,,2011
11-2011,Advertising and Promotions Managers,,30710,2.3,49.69,103350,1.4,20.55,28.74,42.14,61.94,89.73,42750,59780,87650,128840,186630,,,2011
11-2021,Marketing Managers,,168410,0.8,60.67,126190,0.4,28.96,40.05,55.78,74.54,#,60230,83290,116010,155050,#,,,2011
11-2022,Sales Managers,,328230,0.6,56.18,116860,0.3,24.88,33.59,48.87,70.35,#,51760,69860,101640,146330,#,,,2011
11-2031,Public Relations and Fundraising Managers,,53200,1.3,50.81,105690,0.8,24.21,32.72,44.86,62.88,84.81,50360,68060,93310,130780,176400,,,2011
11-3011,Administrative Services Managers,,249600,0.6,41.69,86720,0.3,20.73,28.14,38.24,50.97,66.91,43120,58540,79540,106030,139170,,,2011
11-3021,Computer and Information Systems Managers,,300830,0.9,60.41,125660,0.4,35.13,44.46,56.74,71.39,89.01,73080,92470,118010,148500,185150,,,2011
11-3031,Financial Managers,,477690,0.5,57.91,120450,0.3,27.94,37.65,51.52,70.26,#,58120,78300,107160,146150,#,,,2011
11-3051,Industrial Production Managers,,151850,0.6,46.33,96370,0.4,25.54,32.72,42.4,55.38,71.48,53130,68060,88190,115200,148670,,,2011
11-3061,Purchasing Managers,,66990,0.8,49.57,103110,0.4,26.77,35.06,46.7,60.69,73.61,55680,72910,97130,126240,153110,,,2011
11-3071,"Transportation, Storage, and Distribution Managers",,92150,0.9,42.23,87830,0.4,22.98,29.93,38.87,51.04,65.32,47800,62260,80860,106170,135860,,,2011
11-3111,Compensation and Benefits Managers,,24580,1.1,48.62,101130,0.5,25.66,33.44,44.37,58.8,77.04,53370,69550,92290,122310,160240,,,2011
11-3121,Human Resources Managers,,81750,0.7,52.21,108600,0.4,28.88,36.8,47.66,63.04,81.4,60070,76540,99130,131130,169310,,,2011
11-3131,Training and Development Managers,,27150,1.3,47.73,99280,0.5,25.24,33.47,44.1,57.78,73.63,52510,69610,91740,120190,153160,,,2011
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",,3340,5.2,33.66,70010,1.9,15.38,21.32,31.09,41.54,53.92,31980,44350,64660,86400,112150,,,2011
11-9021,Construction Managers,,195000,1.0,45.14,93900,0.6,24.35,31.15,40.5,53.85,71.67,50650,64780,84240,112020,149070,,,2011
11-9031,"Education Administrators, Preschool and Childcare Center/Program",,49320,1.7,24.66,51290,1.3,13.33,16.25,21.07,29.39,41.13,27720,33810,43830,61120,85550,,,2011
11-9032,"Education Administrators, Elementary and Secondary School",,222810,0.5,*,90200,1.1,*,*,*,*,*,58600,70840,87470,107900,128660,True,,2011
11-9033,"Education Administrators, Postsecondary",,113620,1.6,46.72,97170,1.0,22.88,29.82,40.52,56.35,79.04,47580,62020,84280,117210,164390,,,2011
11-9039,"Education Administrators, All Other",,28090,1.7,39.46,82070,0.9,19.73,26.53,36.89,49.07,61.56,41040,55180,76730,102070,128040,,,2011
11-9041,Architectural and Engineering Managers,,184530,1.4,62.19,129350,0.5,37.94,46.96,58.75,72.28,89.43,78920,97680,122190,150350,186020,,,2011
11-9051,Food Service Managers,,183940,1.3,25.3,52620,0.5,14.7,18.31,23.13,30.04,39.14,30570,38090,48110,62490,81410,,,2011
