00-0000,All Occupations,total,127097160,0.1,21.35,44410,0.1,8.51,10.65,16.27,26.08,39.97,17690,22150,33840,54250,83140,,,2010
11-0000,Management Occupations,major,6022860,0.2,50.69,105440,0.1,21.57,30.65,43.96,62.97,#,44860,63760,91440,130980,#,,,2010
11-1011,Chief Executives,,273500,0.5,83.34,173350,0.3,36.14,51.92,79.37,#,#,75160,107990,165080,#,#,,,2010
11-1021,General and Operations Managers,,1708080,0.3,54.38,113100,0.2,22.73,31.39,45.38,68.28,#,47280,65290,94400,142030,#,,,2010
11-1031,Legislators,,65710,1.3,*,38470,1.2,*,*,*,*,*,15790,16790,19260,54170,84320,True,,2010
11-2011,Advertising and Promotions Managers,,32240,2.2,47.46,98720,1.2,19.94,27.32,40.33,58.93,#,41480,56820,83890,122570,#,,,2010
11-2021,Marketing Managers,,164590,0.8,59,122720,0.4,27.76,38.9,54.23,72.72,#,57750,80900,112800,151260,#,,,2010
11-2022,Sales Managers,,319300,0.6,54.86,114110,0.3,24.02,32.49,47.37,69.12,#,49960,67570,98530,143770,#,,,2010
11-2031,Public Relations and Fundraising Managers,,53460,1.4,50.19,104390,0.8,23.9,32.18,44.14,61.76,#,49720,66930,91810,128470,#,,,2010
11-3011,Administrative Services Managers,,240320,0.6,40.57,84390,0.3,19.91,27.16,37.45,49.78,65.05,41420,56490,77890,103550,135300,,,2010
11-3021,Computer and Information Systems Managers,,288660,0.8,59.27,123280,0.3,34.34,43.68,55.67,70.23,#,71420,90850,115780,146080,#,,,2010
11-3031,Financial Managers,,478940,0.5,56.24,116970,0.3,26.98,36.5,49.96,68.37,#,56120,75920,103910,142210,#,,,2010
11-3051,Industrial Production Managers,,143310,0.8,45.99,95660,0.3,25.31,32.33,41.91,55.06,71.16,52640,67250,87160,114530,148020,,,2010
11-3061,Purchasing Managers,,65220,0.8,48.36,100600,0.4,26.46,34.42,45.71,59.02,72.08,55040,71600,95070,122760,149920,,,2010
11-3071,"Transportation, Storage, and Distribution Managers",,90280,0.8,41.65,86630,0.4,22.45,29.29,38.56,50.3,64.18,46700,60920,80210,104620,133490,,,2010
11-3111,Compensation and Benefits Managers,,29830,1.0,46.61,96940,0.4,25.07,32.51,42.92,56.48,72.64,52150,67630,89270,117470,151090,,,2010
11-3121,Human Resources Managers,,67700,0.7,52.21,108600,0.4,29.59,37.14,47.68,62.54,#,61560,77240,99180,130090,#,,,2010
11-3131,Training and Development Managers,,28070,1.2,46.06,95800,0.5,24.26,32.18,42.87,55.97,71.61,50470,66930,89170,116410,148950,,,2010
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",,3680,5.2,31.71,65960,2.2,14.08,19.54,29.21,39.3,51.43,29280,40640,60750,81750,106980,,,2010
11-9021,Construction Managers,,191430,1.1,45.31,94240,0.5,24.16,30.8,40.32,54.15,72.24,50240,64070,83860,112630,150250,,,2010
11-9031,"Education Administrators, Preschool and Childcare Center/Program",,50700,1.9,24.23,50410,1.3,13.08,16.03,20.65,29.15,40.92,27210,33340,42960,60630,85110,,,2010
11-9032,"Education Administrators, Elementary and Secondary School",,222270,0.5,*,89990,1.2,*,*,*,*,*,58300,70760,86970,107220,129480,True,,2010
11-9033,"Education Administrators, Postsecondary",,110360,1.5,46.48,96680,0.9,22.66,29.54,40.24,56.27,79.11,47130,61440,83710,117040,164540,,,2010
11-9039,"Education Administrators, All Other",,28100,1.7,39.36,81870,0.9,20.17,26.68,36.39,48.51,61.78,41950,55500,75690,100900,128490,,,2010
11-9041,Architectural and Engineering Managers,,174720,1.1,60.53,125900,0.4,37.23,45.89,57.34,70.76,#,77440,95450,119260,147180,#,,,2010
11-9051,Food Service Managers,,186830,1.3,25.11,52220,0.5,14.65,18.27,23.14,29.79,38.66,30480,38000,48130,61970,80410,,,2010
11-9071,Gaming Managers,,3230,3.3,35.55,73940,1.2,19.58,24.54,32.19,41.87,55.8,40720,51040,66960,87080,116070,,,2010
11-9081,Lodging Managers,,29920,1.9,26.23,54570,0.8,14.16,17.41,22.54,31.12,42.27,29460,36200,46880,64720,87920,,,2010
